id,rule_id,name,lang,severity,category,message,yaml_content,enabled,created_at
apex.lang.best-practice.ncino.accessModifiers.GlobalAccessModifiers,apex.lang.best-practice.ncino.accessModifiers.GlobalAccessModifiers,GlobalAccessModifiers,apex,warning,lang,"Global classes, methods, and variables should be avoided (especially in managed packages) as they can never be deleted or changed in signature. Always check twice if something needs to be global.","rules:
  - id: global-access-modifiers
    min-version: 1.44.0
    severity: WARNING
    languages:
      - apex
    metadata:
      cwe:
      - 'CWE-284: Improper Access Control'
      category: best-practice
      technology:
      - salesforce
      references:
      - https://cwe.mitre.org/data/definitions/284.html
    message: >-
      Global classes, methods, and variables should be avoided (especially in managed packages) as they can
      never be deleted or changed in signature. Always check twice if something needs to be global.
    patterns:
      - pattern-regex: global [A-Za-z0-9_]{3,}
      - pattern-not-regex: //(\s+([a-zA-Z]+\s+)+)[a-zA-Z]+
      - pattern-not-regex: '[*](\s+([a-zA-Z]+\s+)+)[a-zA-Z]+'
    paths:
      exclude:
        - ""*Test*""
        - ""*test*""
",t,2026-04-21 13:30:36.635309-06
apex.lang.best-practice.ncino.tests.UseAssertClass,apex.lang.best-practice.ncino.tests.UseAssertClass,UseAssertClass,apex,warning,lang,Assert methods in the System class have been replaced with the Assert class:,"rules:
  - id: use-assert-class
    min-version: 1.44.0
    severity: WARNING
    languages:
      - generic
    metadata:
      category: best-practice
      references:
      - https://developer.salesforce.com/docs/atlas.en-us.apexref.meta/apexref/apex_class_System_Assert.htm
      technology:
      - salesforce
    message: >-
      Assert methods in the System class have been replaced with the Assert class:
      https://developer.salesforce.com/docs/atlas.en-us.apexref.meta/apexref/apex_class_System_Assert.htm
    pattern-regex: System\.assert
    paths:
      include:
        - ""*.cls""
        - ""UseAssertClass.cls""
",t,2026-04-21 13:30:36.635309-06
apex.lang.best-practice.ncino.urls.AbsoluteUrls,apex.lang.best-practice.ncino.urls.AbsoluteUrls,AbsoluteUrls,apex,warning,lang,"Using absolute URLs to Salesforce Pages is bug prone. Different sandboxes and production environments will have different instance names (like ""na10"", ""na15"" etc.). Code using absolute URLs will only work when it runs in the corresponding salesforce instances. It will break as soon as it is deployed in another one. Thus only relative URLs, i.e. without the domain and subdomain names, should be used when pointing to a salesforce page. pattern-regex: (http|https)://.*(salesforce|force|visualforce)\.com\.*","rules:
  - id: absolute-urls
    min-version: 1.44.0
    severity: WARNING
    languages:
      - apex
    metadata:
      category: best-practice
      references:
      - ''
      technology:
      - salesforce
    message: >-
      Using absolute URLs to Salesforce Pages is bug prone. Different sandboxes and production
      environments will have different instance names (like ""na10"", ""na15"" etc.). Code using
      absolute URLs will only work when it runs in the corresponding salesforce instances. It
      will break as soon as it is deployed in another one. Thus only relative URLs, i.e. without
      the domain and subdomain names, should be used when pointing to a salesforce page.
    pattern-regex: (http|https)://.*(salesforce|force|visualforce)\.com\.*
    paths:
      exclude:
        - ""*Test*""
        - ""*test*""
",t,2026-04-21 13:30:36.635309-06
apex.lang.performance.ncino.operationsInLoops.AvoidNativeDmlInLoops,apex.lang.performance.ncino.operationsInLoops.AvoidNativeDmlInLoops,AvoidNativeDmlInLoops,apex,error,lang,"Avoid DML statements inside loops to avoid hitting the DML governor limit. Instead, try to batch up the data into a list and invoke your DML once on that list of data outside the loop.","rules:
  - id: avoid-native-dml-in-loops
    min-version: 1.44.0
    severity: ERROR
    languages:
      - generic
    metadata:
      category: performance
      references:
      - https://developer.salesforce.com/docs/atlas.en-us.apexcode.meta/apexcode/apex_gov_limits.htm
      technology:
      - salesforce
    message: >-
      Avoid DML statements inside loops to avoid hitting the DML governor limit.
      Instead, try to batch up the data into a list and invoke your DML once on
      that list of data outside the loop.
    patterns:
      - pattern-either:
          - pattern-inside: |
              for (...) {
                ...
              }
          - pattern-inside: |
              while (...) {
                ...
              }
          - pattern-inside: |
              do {
                ...
              } while (...);
      - pattern-either:
          - pattern: |
              insert $DATA;
          - pattern: |
              update $DATA;
          - pattern: |
              upsert $DATA;
          - pattern: |
              delete $DATA;
          - pattern: |
              Database.insert($DATA);
          - pattern: |
              Database.update($DATA);
          - pattern: |
              Database.upsert($DATA);
          - pattern: |
              Database.delete($DATA);
",t,2026-04-21 13:30:36.635309-06
apex.lang.performance.ncino.operationsInLoops.AvoidOperationsWithLimitsInLoops,apex.lang.performance.ncino.operationsInLoops.AvoidOperationsWithLimitsInLoops,AvoidOperationsWithLimitsInLoops,apex,error,lang,"Database class methods, DML operations, SOQL queries, SOSL queries, Approval class methods, Email sending, async scheduling or queueing within loops can cause governor limit exceptions. Instead, try to batch up the data into a list and invoke the operation once on that list of data outside the loop.","rules:
  - id: avoid-operations-with-limits-in-loops
    min-version: 1.44.0
    severity: ERROR
    languages:
      - generic
    metadata:
      category: performance
      references:
      - https://developer.salesforce.com/docs/atlas.en-us.apexcode.meta/apexcode/apex_gov_limits.htm
      technology:
      - salesforce
    message: >-
      Database class methods, DML operations, SOQL queries, SOSL queries,
      Approval class methods, Email sending, async scheduling or queueing
      within loops can cause governor limit exceptions. Instead, try to
      batch up the data into a list and invoke the operation once on that
      list of data outside the loop.
    patterns:
      - pattern-either:
          - pattern-inside: |
              for (...) {
                ...
              }
          - pattern-inside: |
              while (...) {
                ...
              }
          - pattern-inside: |
              do {
                ...
              } while (...);
      - pattern-either:
        - pattern: |
            Messaging.sendEmail(...);
        - pattern: |
            Approval.ProcessSubmitRequest $REQUEST = new Approval.ProcessSubmitRequest();
        - pattern: |
            System.enqueueJob(...);
        - pattern: |
            System.schedule(...);
        - pattern: |
            System.scheduleBatch(...);
",t,2026-04-21 13:30:36.635309-06
bash.lang.best-practice.iteration-over-ls-output,bash.lang.best-practice.iteration-over-ls-output,Iteration Over Ls Output,bash,warning,lang,"Iterating over ls output is fragile. Use globs, e.g. 'dir/*' instead of '$(ls dir)'.","rules:
  - id: iteration-over-ls-output
    patterns:
      - pattern: |
          for $VAR in $LIST; do
            ...
          done
      - pattern: |
          $(ls ...)
    message: >-
      Iterating over ls output is fragile. Use globs, e.g. 'dir/*' instead
      of '$(ls dir)'.
    metadata:
      references:
        - https://github.com/koalaman/shellcheck/wiki/SC2045
      category: best-practice
      technology:
        - bash
    severity: WARNING
    languages:
      - bash
",t,2026-04-21 13:30:36.635309-06
apex.lang.performance.ncino.operationsInLoops.AvoidSoqlInLoops,apex.lang.performance.ncino.operationsInLoops.AvoidSoqlInLoops,AvoidSoqlInLoops,apex,error,lang,"Database class methods, DML operations, SOQL queries, SOSL queries, Approval class methods, Email sending, async scheduling or queueing within loops can cause governor limit exceptions. Instead, try to batch up the data into a list and invoke the operation once on that list of data outside the loop.","rules:
  - id: avoid-soql-in-loops
    min-version: 1.44.0
    severity: ERROR
    languages:
      - generic
    metadata:
      category: performance
      references:
      - https://developer.salesforce.com/docs/atlas.en-us.apexcode.meta/apexcode/apex_gov_limits.htm
      technology:
      - salesforce
    message: >-
      Database class methods, DML operations, SOQL queries, SOSL queries,
      Approval class methods, Email sending, async scheduling or queueing
      within loops can cause governor limit exceptions. Instead, try to
      batch up the data into a list and invoke the operation once on that
      list of data outside the loop.
    patterns:
      - pattern-either:
          - pattern-inside: |
              for (...) {
                ...
              }
          - pattern-inside: |
              while (...) {
                ...
              }
          - pattern-inside: |
              do {
                ...
              } while (...);
      - pattern: |
          $OBJECTS = [...SELECT...FROM...];
",t,2026-04-21 13:30:36.635309-06
apex.lang.performance.ncino.operationsInLoops.AvoidSoslInLoops,apex.lang.performance.ncino.operationsInLoops.AvoidSoslInLoops,AvoidSoslInLoops,apex,error,lang,"Database class methods, DML operations, SOQL queries, SOSL queries, Approval class methods, Email sending, async scheduling or queueing within loops can cause governor limit exceptions. Instead, try to batch up the data into a list and invoke the operation once on that list of data outside the loop.","rules:
  - id: avoid-sosl-in-loops
    min-version: 1.44.0
    severity: ERROR
    languages:
      - generic
    metadata:
      category: performance
      references:
      - https://developer.salesforce.com/docs/atlas.en-us.apexcode.meta/apexcode/apex_gov_limits.htm
      technology:
      - salesforce
    message: >-
      Database class methods, DML operations, SOQL queries, SOSL queries,
      Approval class methods, Email sending, async scheduling or queueing
      within loops can cause governor limit exceptions. Instead, try to
      batch up the data into a list and invoke the operation once on that
      list of data outside the loop.
    patterns:
      - pattern-either:
          - pattern-inside: |
              for (...) {
                ...
              }
          - pattern-inside: |
              while (...) {
                ...
              }
          - pattern-inside: |
              do {
                ...
              } while (...);
      - pattern-either:
        - pattern: |
            $OBJECTS = ... Search.query(...)
        - pattern: |
            $OBJECTS = ... [FIND...IN ALL FIELDS RETURNING...]
",t,2026-04-21 13:30:36.635309-06
apex.lang.security.ncino.dml.ApexCSRFConstructor,apex.lang.security.ncino.dml.ApexCSRFConstructor,ApexCSRFConstructor,apex,error,lang,"Having DML operations in Apex class constructor or initializers can have unexpected side effects: By just accessing a page, the DML statements would be executed and the database would be modified. Just querying the database is permitted.","rules:
  - id: apex-csrf-constructor
    min-version: 1.44.0
    severity: ERROR
    languages:
      - apex
    metadata:
      cwe:
      - 'CWE-352: Cross-Site Request Forgery (CSRF)'
      owasp:
      - A01:2021 - Broken Access Control
      cwe2020-top25': true
      cwe2021-top25': true
      cwe2022-top25': true
      impact: HIGH
      likelihood: MEDIUM
      confidence: HIGH
      category: security
      subcategory:
      - vuln
      technology:
      - salesforce
      references:
      - https://cwe.mitre.org/data/definitions/352.html
    message: >-
      Having DML operations in Apex class constructor or initializers can
      have unexpected side effects: By just accessing a page, the DML statements
      would be executed and the database would be modified. Just querying the
      database is permitted.
    patterns:
      - pattern-either:
          - pattern-inside: public class $CLASSNAME {...}
          - pattern-inside: private class $CLASSNAME {...}
          - pattern-inside: public $SOME sharing class $CLASSNAME {...}
          - pattern-inside: private $SOME sharing class $CLASSNAME {...}
      - pattern-either:
          - pattern-inside: public $CLASSNAME() {...}
          - pattern-inside: private $CLASSNAME() {...}
      - pattern-either:
          - pattern: |
              insert $DATA;
          - pattern: |
              update $DATA;
          - pattern: |
              upsert $DATA;
          - pattern: |
              delete $DATA;
    paths:
      exclude:
        - ""*Test*""
        - ""*test*""
",t,2026-04-21 13:30:36.635309-06
apex.lang.security.ncino.dml.ApexCSRFStaticConstructor,apex.lang.security.ncino.dml.ApexCSRFStaticConstructor,ApexCSRFStaticConstructor,apex,error,lang,"Having DML operations in Apex class constructor or initializers can have unexpected side effects: By just accessing a page, the DML statements would be executed and the database would be modified. Just querying the database is permitted.","rules:
  - id: apex-csrf-static-constructor
    min-version: 1.44.0
    severity: ERROR
    languages:
      - generic
    metadata:
      cwe:
      - 'CWE-352: Cross-Site Request Forgery (CSRF)'
      owasp:
      - A01:2021 - Broken Access Control
      cwe2020-top25': true
      cwe2021-top25': true
      cwe2022-top25': true
      impact: HIGH
      likelihood: MEDIUM
      confidence: HIGH
      category: security
      subcategory:
      - vuln
      technology:
      - salesforce
      references:
      - https://cwe.mitre.org/data/definitions/352.html
    message: >-
      Having DML operations in Apex class constructor or initializers can
      have unexpected side effects: By just accessing a page, the DML statements
      would be executed and the database would be modified. Just querying the
      database is permitted.
    patterns:
      - pattern-inside: static {...}
      - pattern-either:
        - pattern: |
            insert $DATA;
        - pattern: |
            update $DATA;
        - pattern: |
            upsert $DATA;
        - pattern: |
            delete $DATA;
    paths:
      exclude:
        - ""*Test*""
        - ""*test*""
",t,2026-04-21 13:30:36.635309-06
apex.lang.security.ncino.injection.ApexSOQLInjectionFromUnescapedURLParam,apex.lang.security.ncino.injection.ApexSOQLInjectionFromUnescapedURLParam,ApexSOQLInjectionFromUnescapedURLParam,apex,error,lang,"If a dynamic query must be used,leverage nFORCE Query Builder. In other programming languages, the related flaw is known as SQL injection. Apex doesn't use SQL, but uses its own database query language, SOQL. SOQL is much simpler and more limited in functionality than SQL. The risks are much lower for SOQL injection than for SQL injection, but the attacks are nearly identical to traditional SQL injection. SQL/SOQL injection takes user-supplied input and uses those values in a dynamic SOQL query. If the input isn't validated, it can include SOQL commands that effectively modify the SOQL statement and trick the application into performing unintended commands. pattern-sources:","rules:
  - id: soql-injection-unescaped-url-param
    min-version: 1.44.0
    mode: taint
    severity: ERROR
    languages:
      - apex
    metadata:
      category: security
      subcategory:
      - vuln
      technology:
      - salesforce
      cwe:
      - 'CWE-943: Improper Neutralization of Special Elements in Data Query Logic'
      owasp:
      - A03:2021 - Injection
      references:
      - https://cwe.mitre.org/data/definitions/943.html
      impact: HIGH
      likelihood: HIGH
      confidence: HIGH
    message: >-
      If a dynamic query must be used,leverage nFORCE Query Builder.
      In other programming languages, the related flaw is known as SQL injection.
      Apex doesn't use SQL, but uses its own database query language, SOQL. SOQL is
      much simpler and more limited in functionality than SQL. The risks are much
      lower for SOQL injection than for SQL injection, but the attacks are nearly
      identical to traditional SQL injection. SQL/SOQL injection takes user-supplied
      input and uses those values in a dynamic SOQL query. If the input isn't validated,
      it can include SOQL commands that effectively modify the SOQL statement and trick
      the application into performing unintended commands.
    pattern-sources:
      - by-side-effect: true
        pattern: ApexPage.getCurrentPage().getParameters.get($URLPARAM);
    pattern-sanitizers:
      - pattern: String.escapeSingleQuotes(...)
    pattern-sinks:
      - patterns:
        - pattern: Database.query($SINK,...);
        - focus-metavariable: $SINK
",t,2026-04-21 13:30:36.635309-06
apex.lang.security.ncino.dml.DmlNativeStatements,apex.lang.security.ncino.dml.DmlNativeStatements,DmlNativeStatements,apex,warning,lang,"Native Salesforce DML operations execute in system context, ignoring the current user's permissions, field-level security, organization-wide defaults, position in the role hierarchy, and sharing rules. Be mindful when using native Salesforce DML operations.","rules:
  - id: dml-native-statements
    min-version: 1.44.0
    severity: WARNING
    languages:
      - apex
    metadata:
      cwe:
      - 'CWE-863: Incorrect Authorization'
      owasp:
      - A01:2021 - Broken Access Control
      - A04:2021 - Insecure Design
      impact: HIGH
      likelihood: LOW
      confidence: LOW
      category: security
      subcategory:
      - audit
      technology:
      - salesforce
      references:
      - https://developer.salesforce.com/docs/atlas.en-us.apexref.meta/apexref/apex_dml_section.htm
      - https://cwe.mitre.org/data/definitions/863.html
      - https://owasp.org/Top10/A04_2021-Insecure_Design/
    message: >-
      Native Salesforce DML operations execute in system context, ignoring the current user's permissions,
      field-level security, organization-wide defaults, position in the role hierarchy, and sharing rules.
      Be mindful when using native Salesforce DML operations.
    patterns:
      - pattern-either:
        - pattern-regex: '(insert|upsert|update|delete)[\s]'
        - pattern-regex: '(insert|upsert|update|delete)[(]'
      - pattern-not-regex: '[\/\/].*(insert|upsert|update|delete).*'
      - pattern-not-regex: '[\/\/].*(insert|upsert|update|delete)[\n]'
      - pattern-not-regex: '.*[=].*(insert|upsert|update|delete).*[,;]'
",t,2026-04-21 13:30:36.635309-06
apex.lang.security.ncino.encryption.BadCrypto,apex.lang.security.ncino.encryption.BadCrypto,BadCrypto,apex,error,lang,The rule makes sure you are using randomly generated IVs and keys for Crypto calls. Hard-coding these values greatly compromises the security of encrypted data. pattern-either:,"rules:
  - id: bad-crypto
    min-version: 1.44.0
    severity: ERROR
    languages:
      - apex
    metadata:
      cwe:
      - 'CWE-321: Use of Hard-coded Cryptographic Key'
      owasp:
      - A02:2021 - Cryptographic Failures
      impact: HIGH
      likelihood: LOW
      confidence: LOW
      category: security
      subcategory:
      - audit
      technology:
      - salesforce
      references:
      - https://cwe.mitre.org/data/definitions/321.html
    message: >-
      The rule makes sure you are using randomly generated IVs and keys
      for Crypto calls. Hard-coding these values greatly compromises the
      security of encrypted data.
    pattern-either:
      - pattern: Blob $IV = Blob.valueOf('$STRING');...Crypto.encrypt($ONE, $TWO, $IV, $FOUR);
      - pattern: Blob $IV = Blob.valueOf('$STRING');...Crypto.decrypt($ONE, $TWO, $IV, $FOUR);
      - pattern: Blob $KEY = Blob.valueOf('$STRING');...Crypto.encrypt($ONE, $KEY, $THREE, $FOUR);
      - pattern: Blob $KEY = Blob.valueOf('$STRING');...Crypto.decrypt($ONE, $KEY, $THREE, $FOUR);
    paths:
      exclude:
        - ""*Test*""
        - ""*test*""
",t,2026-04-21 13:30:36.635309-06
apex.lang.security.ncino.endpoints.InsecureHttpRequest,apex.lang.security.ncino.endpoints.InsecureHttpRequest,InsecureHttpRequest,apex,error,lang,The software transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.,"rules:
  - id: insecure-http-request
    min-version: 1.44.0
    severity: ERROR
    languages:
      - apex
    metadata:
      cwe:
      - 'CWE-319: Cleartext Transmission of Sensitive Information'
      impact: MEDIUM
      likelihood: LOW
      confidence: MEDIUM
      category: security
      subcategory:
      - vuln
      technology:
      - salesforce
      references:
        - https://cwe.mitre.org/data/definitions/319.html
    message: >-
      The software transmits sensitive or security-critical data in cleartext in
      a communication channel that can be sniffed by unauthorized actors.
    patterns:
      - pattern-regex: http[:][/][/]
      - pattern-not-regex: //.*
      - pattern-not-regex: '[*].*'
    paths:
      exclude:
        - ""*Test*""
        - ""*test*""
",t,2026-04-21 13:30:36.635309-06
